Date	CL1
8/17/95	0.006267806
8/18/95	0.01189128
8/21/95	0.021264689
8/22/95	0.015890411
8/24/95	-0.007777778
8/25/95	0
8/28/95	-0.002239642
8/29/95	0
8/30/95	-0.001683502
8/31/95	0.002810568
9/1/95	0.011210762
9/5/95	0.029933481
9/6/95	-0.011840689
9/7/95	-0.004901961
9/8/95	0.009304871
9/11/95	0.001626898
9/12/95	0.009204115
9/13/95	-0.005364807
9/14/95	0.016720604
9/18/95	0.000528541
9/22/95	-0.017653759
9/25/95	0.012753623
9/26/95	-0.008013738
9/27/95	0.013848817
9/28/95	0.010813887
9/29/95	-0.012387387
10/3/95	-0.004535147
10/4/95	-0.014806378
10/5/95	-0.024855491
10/6/95	0.009484292
10/9/95	0.016441574
10/11/95	-0.007462687
10/12/95	-0.009832273
10/13/95	0.016939252
10/16/95	0.010338886
10/17/95	0.005116543
10/18/95	-0.003959276
10/19/95	-0.016467916
10/20/95	0.002886836
10/24/95	0.006391633
10/25/95	0
10/26/95	0.015011547
10/27/95	-0.002275313
10/30/95	0.004561003
10/31/95	0.001135074
11/1/95	0.005668934
11/2/95	0.013528749
11/3/95	-0.002224694
11/6/95	-0.012820513
11/7/95	-0.003387916
11/8/95	0.009631728
11/9/95	0.001122334
11/13/95	-0.001682557
11/14/95	0.001123596
11/15/95	0.00617284
11/16/95	0.014500837
11/17/95	0.020890599
11/20/95	-0.027463651
11/22/95	-0.000556483
11/28/95	-0.002720348
11/29/95	-0.003818876
11/30/95	-0.004381161
12/1/95	0.013751375
12/4/95	0.010851872
12/5/95	0.002147075
12/6/95	0.005356186
12/8/95	0.012813668
12/11/95	-0.016341592
12/12/95	0.00375134
12/13/95	0.014415376
12/15/95	0.02093145
12/18/95	0.008200923
12/21/95	-0.000527148
12/22/95	0.009493671
12/28/95	-0.007179487
12/29/95	0.00981405
1/2/96	0.013299233
1/3/96	0.004038364
1/4/96	0.00100553
1/5/96	0.017579106
1/11/96	-0.04473818
1/15/96	0.007123288
1/16/96	-0.017954298
1/17/96	0.026038781
1/18/96	0.035637149
1/19/96	-0.012513034
1/22/96	-0.016895459
1/24/96	0.012181617
1/25/96	-0.033369803
1/26/96	0.003395586
1/29/96	-0.015792442
1/30/96	0.006303725
1/31/96	0.010250569
2/1/96	-0.001691094
2/2/96	0.005081875
2/5/96	-0.014606742
2/6/96	0.008551881
2/7/96	0.002826456
2/8/96	0.001127396
2/9/96	0.001126126
2/12/96	0.010686164
2/13/96	0.052309405
2/14/96	0.002644104
2/15/96	0.004219409
2/16/96	0.006302521
2/20/96	0.098643006
2/21/96	-0.063657957
2/22/96	0.007102993
2/23/96	-0.039798489
2/26/96	0.017313746
2/27/96	0.015987622
2/28/96	-0.020812183
2/29/96	0.012960083
3/4/96	-0.012345679
3/5/96	0.017708333
3/6/96	0.033265097
3/7/96	-0.018821199
3/11/96	0.015298317
3/13/96	0.005865103
3/14/96	0.028182702
3/18/96	0.058208276
3/19/96	0.045981951
3/22/96	0.042755344
3/25/96	0.020501139
3/26/96	-0.009375
3/27/96	-0.018026138
3/28/96	-0.017439192
3/29/96	0.002802429
4/1/96	0.036795529
4/2/96	0.019766397
4/3/96	-0.018942731
4/4/96	0.02155366
4/9/96	0.001302649
4/10/96	0.049869905
4/11/96	0.046674928
4/12/96	-0.041436464
4/15/96	0.031700288
4/16/96	-0.023543496
4/17/96	0.008173273
4/18/96	-0.034454803
4/19/96	0.005457599
4/22/96	0.005010438
4/23/96	-0.056917324
4/24/96	-0.013215859
4/25/96	-0.008928571
4/26/96	0.005405405
4/29/96	0.004928315
4/30/96	-0.054837272
5/2/96	0.002402691
5/3/96	0.015340364
5/6/96	-0.006610009
5/7/96	0.003326996
5/8/96	-0.005210801
5/10/96	0.015957447
5/14/96	0.002808989
5/15/96	0.00280112
5/17/96	-0.006737247
5/20/96	0.089147287
5/23/96	-0.007943925
5/24/96	0.004239284
5/28/96	-0.009849906
5/29/96	-0.01657982
5/30/96	-0.039499037
5/31/96	-0.009027081
6/3/96	0.004554656
6/4/96	0.029722922
6/5/96	-0.035225049
6/6/96	0.01673428
6/7/96	0.011471322
6/10/96	-0.00147929
6/11/96	-0.007407407
6/12/96	-0.000497512
6/13/96	-0.003982081
6/14/96	0.016491754
6/17/96	0.088495575
6/18/96	-0.03071364
6/19/96	-0.032618826
6/20/96	-0.005298651
6/21/96	-0.03535109
6/24/96	0.003012048
6/25/96	-0.001001001
6/26/96	0.034569138
6/27/96	0.017917676
6/28/96	-0.004757374
7/2/96	-0.018578727
7/3/96	0.003786086
7/9/96	0.00658204
7/11/96	0.018561485
7/15/96	0.026484018
7/16/96	-0.004448399
7/18/96	-0.005504587
7/19/96	-0.031365314
7/24/96	-0.015706806
7/25/96	0.002901354
7/26/96	-0.030376085
7/29/96	0.008453506
7/30/96	0.002465483
7/31/96	0.004426955
8/1/96	0.03036239
8/2/96	0.014258555
8/5/96	-0.005154639
8/6/96	-0.004710316
8/7/96	0.013724562
8/8/96	0.006069094
8/9/96	0.000928074
8/12/96	0.030134446
8/13/96	0.006750675
8/14/96	-0.011175682
8/15/96	-0.00994575
8/16/96	0.034703196
8/19/96	0.026478376
8/20/96	-0.017196905
8/21/96	-0.049868766
8/23/96	-0.015246637
8/26/96	-0.015482696
8/27/96	-0.002775208
8/28/96	0.006957328
8/29/96	0.020267158
8/30/96	0.004514673
9/3/96	0.051685393
9/4/96	-0.006837607
9/5/96	0.008605852
9/6/96	0.017491468
9/9/96	-0.005031447
9/10/96	0.016434893
9/12/96	0.01010101
9/13/96	-0.0196
9/17/96	0.005174644
9/18/96	0.024882025
9/23/96	-0.011002962
9/24/96	0.029952931
9/25/96	0.016202742
9/26/96	-0.012264922
9/27/96	0.018211921
9/30/96	-0.008943089
10/2/96	-0.003728252
10/3/96	0.031600832
10/4/96	-0.003224506
10/7/96	0.020622725
10/8/96	0.011885895
10/9/96	-0.018402506
10/11/96	0.016488046
10/14/96	0.03892944
10/15/96	-0.007806401
10/16/96	-0.009834776
10/17/96	0.009932459
10/18/96	0.014555468
10/21/96	0.005040713
10/22/96	-0.006558642
10/24/96	-0.014078842
10/25/96	0.014279886
10/28/96	-0.000402253
10/29/96	-0.020523139
10/30/96	-0.002465078
10/31/96	-0.03830313
11/1/96	-0.013704497
11/4/96	-0.01042119
11/5/96	-0.006581834
11/6/96	0.002208481
